Name,Notes,Latitude,Longitude,Method,Google Maps URL
Burdicks Crossing Fishing Access,,43.6788753,-75.3648279,Google canonical URL + verified,https://www.google.com/maps/place/Burdicks+Crossing+Fishing+Access/data=!4m2!3m1!1s0x89d8e9f4d3c5fb15:0xf38c04b81ea9cfdd
Salmon River Reservoir Parking,,43.5512153,-75.8888816,Google canonical URL + verified,https://www.google.com/maps/place/Salmon+River+Reservoir+Parking/data=!4m2!3m1!1s0x89d8539522e5cf45:0xc70201ff2ab6b7f1
"42°14'17.1""N 75°50'46.4""W",,42.238091,-75.846222,Direct KML URL,"https://www.google.com/maps/search/42.238091,-75.846222"
Baldwinsville Community Park,,43.1462047,-76.3211278,Google canonical URL + verified,https://www.google.com/maps/place/Baldwinsville+Community+Park/data=!4m2!3m1!1s0x89d9e345ee179ebd:0xe2f82c5c04e15278
"42°23'49.5""N 75°57'37.4""W",,42.397081,-75.960375,Direct KML URL,"https://www.google.com/maps/search/42.397081,-75.960375"
"42°23'58.0""N 75°58'19.7""W",,42.39944,-75.972133,Direct KML URL,"https://www.google.com/maps/search/42.39944,-75.972133"
West Branch Fish Creek Fishing Access,,43.2679336,-75.6398815,Google canonical URL + verified,https://www.google.com/maps/place/West+Branch+Fish+Creek+Fishing+Access/data=!4m2!3m1!1s0x89d9095e9f50040b:0x3fa870ef3324d36a
Erie Canal 1st Bypass,,43.19535,-75.7290729,Google canonical URL + verified,https://www.google.com/maps/place/Erie+Canal+1st+Bypass/data=!4m2!3m1!1s0x89d99ff6dcdd2927:0x663fe1ee498bee63
DEC Boat Launch,,43.2029311,-75.7109737,Google canonical URL + verified,https://www.google.com/maps/place/DEC+Boat+Launch/data=!4m2!3m1!1s0x89d90b6a13f1d29d:0x5692e1e40a0309c6
Black River Waterway Access,,43.8955918,-75.5049221,Google canonical URL + verified,https://www.google.com/maps/place/Black+River+Waterway+Access/data=!4m2!3m1!1s0x89d89037fad22ab9:0xa3372e30062d21aa
Riverbend Park,,43.9739373,-75.6116978,Google canonical URL + verified,https://www.google.com/maps/place/Riverbend+Park/data=!4m2!3m1!1s0x89d885a6be8e5bb1:0x18b5d6e45e2ef677
West Carthage Boat Launch and park,,43.9844016,-75.628229,Google canonical URL + verified,https://www.google.com/maps/place/West+Carthage+Boat+Launch+and+park/data=!4m2!3m1!1s0x89d8874ff6fbde29:0xa8da7842425339cc
"43°42'42.6""N 75°23'59.5""W",,43.711838,-75.399851,Direct KML URL,"https://www.google.com/maps/search/43.711838,-75.399851"
2998 Hyatt Rd,,42.9393117,-76.7616683,Google canonical URL + verified,https://www.google.com/maps/place/2998+Hyatt+Rd/data=!4m2!3m1!1s0x89d0b69eb2ee8c8b:0x48cc346840eb4449
